Class,Sensitivity,Specificity,Precision,F2-Score
Apple___Apple_scab,1.0,0.9999414108272792,0.998019801980198,0.9990089197224975
Apple___Black_rot,1.0,1.0,1.0,1.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,1.0
Apple___healthy,1.0,0.9998828353837141,0.996031746031746,0.9980119284294234
Blueberry___healthy,1.0,1.0,1.0,1.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,1.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,1.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9634146341463414,0.9994755855960844,0.9777227722772277,0.9705159705159705
Corn_(maize)___Common_rust_,0.9958071278825996,0.9999415033635566,0.9978991596638656,0.9968520461699895
Corn_(maize)___Northern_Leaf_Blight,0.9790356394129979,0.9990055571804621,0.9648760330578512,0.9719042663891778
Corn_(maize)___healthy,1.0,0.9999415443970304,0.9978540772532188,0.9989258861439313
Grape___Black_rot,1.0,1.0,1.0,1.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,1.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,1.0
Grape___healthy,1.0,1.0,1.0,1.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9998828285195384,0.996039603960396,0.998015873015873
Peach___Bacterial_spot,0.9978213507625272,1.0,1.0,0.9989094874591058
Peach___healthy,0.9976851851851852,0.9998833138856477,0.9953810623556582,0.9965317919075144
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,1.0
"Pepper,_bell___healthy",0.9979879275653923,0.9995314787701318,0.9841269841269841,0.991008991008991
Potato___Early_blight,1.0,1.0,1.0,1.0
Potato___Late_blight,0.9979381443298969,0.9998244279276643,0.9938398357289527,0.9958847736625515
Potato___healthy,0.9824561403508771,0.9999415751343772,0.9977728285077951,0.9900552486187846
Raspberry___healthy,0.9977528089887641,1.0,1.0,0.998875140607424
Soybean___healthy,0.996039603960396,0.9998828147887736,0.996039603960396,0.996039603960396
Squash___Powdery_mildew,0.9907834101382489,1.0,1.0,0.9953703703703703
Strawberry___Leaf_scorch,1.0,1.0,1.0,1.0
Strawberry___healthy,1.0,1.0,1.0,1.0
Tomato___Bacterial_spot,0.9929411764705882,0.9997084038024144,0.9882903981264637,0.9906103286384976
Tomato___Early_blight,0.9833333333333333,0.9999414930961853,0.9978858350951374,0.9905561385099685
Tomato___Late_blight,0.9913606911447084,0.9994739610731194,0.9807692307692307,0.9860365198711063
Tomato___Leaf_Mold,0.997872340425532,1.0,1.0,0.9989350372736955
Tomato___Septoria_leaf_spot,0.9931192660550459,0.9999416433239963,0.9976958525345622,0.9954022988505747
Tomato___Spider_mites Two-spotted_spider_mite,0.9839080459770115,0.9997665869171967,0.9907407407407407,0.9873125720876585
Tomato___Target_Spot,0.9890590809628009,0.9994741454864154,0.9804772234273319,0.9847494553376906
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9897959183673469,1.0,1.0,0.9948717948717948
Tomato___Tomato_mosaic_virus,1.0,0.9999416024293389,0.9977728285077951,0.9988851727982163
Tomato___healthy,1.0,0.9998244690187819,0.993801652892562,0.9968911917098445
