epoch,learning_rate,train_accuracy,train_loss,val_accuracy,val_loss
0,0.0001,0.61815,1.61720,0.56442,1.71441
1,0.0001,0.84631,0.92046,0.63237,1.52438
2,0.0001,0.91082,0.74684,0.84635,0.90112
3,0.0001,0.93741,0.66958,0.90752,0.73396
4,0.0001,0.95261,0.62247,0.90752,0.72019
5,0.0001,0.96170,0.59189,0.95077,0.61142
6,0.0001,0.96906,0.56933,0.95573,0.59623
7,0.0001,0.97384,0.55181,0.95669,0.59102
8,0.0001,0.97747,0.53879,0.96409,0.56241
9,0.0001,0.97980,0.52907,0.96705,0.54706
10,0.0001,0.98173,0.51784,0.90513,0.72912
11,0.0001,0.98364,0.51113,0.97234,0.53607
12,0.0001,0.98607,0.50197,0.98139,0.50151
13,0.0001,0.98782,0.49516,0.97388,0.53411
14,0.0001,0.98835,0.48976,0.97069,0.52888
15,0.00005,0.99327,0.46638,0.99141,0.45469
16,0.00005,0.99398,0.46214,0.99289,0.44672
17,0.00005,0.99435,0.45969,0.99397,0.44387
18,0.00005,0.99499,0.45706,0.99380,0.44303
19,0.00005,0.99495,0.45507,0.98464,0.47207
20,0.00005,0.99495,0.45512,0.98976,0.45508
21,0.00005,0.99553,0.45321,0.99283,0.44060
22,0.00005,0.99579,0.45141,0.99351,0.44408
23,0.00005,0.99553,0.45044,0.99368,0.43941
24,0.00005,0.99626,0.44829,0.99391,0.43781
25,0.00005,0.99607,0.44758,0.99402,0.43571
26,0.00005,0.99659,0.44525,0.99397,0.43370
27,0.00005,0.99659,0.44444,0.99442,0.43172
28,0.00005,0.99673,0.44320,0.99420,0.43078
29,0.00005,0.99697,0.44110,0.99533,0.42897
21,0.00005,0.99495,0.45512,0.98976,0.45508
22,0.00005,0.99553,0.45321,0.99283,0.44060
23,0.00005,0.99579,0.45141,0.99351,0.44408
24,0.00005,0.99553,0.45044,0.99368,0.43941
25,0.00005,0.99626,0.44829,0.99391,0.43781
26,0.00005,0.99607,0.44758,0.99402,0.43571
27,0.00005,0.99659,0.44525,0.99397,0.43370
28,0.00005,0.99659,0.44444,0.99442,0.43172
29,0.00005,0.99673,0.44320,0.99420,0.43078
30,0.00005,0.99697,0.44110,0.99533,0.42897
21,0.00005,0.99495,0.45512,0.98976,0.45508
22,0.00005,0.99553,0.45321,0.99283,0.44060
23,0.00005,0.99579,0.45141,0.99351,0.44408
24,0.00005,0.99553,0.45044,0.99368,0.43941
25,0.00005,0.99626,0.44829,0.99391,0.43781
26,0.00005,0.99607,0.44758,0.99402,0.43571
27,0.00005,0.99659,0.44525,0.99397,0.43370
28,0.00005,0.99659,0.44444,0.99442,0.43172
29,0.00005,0.99673,0.44320,0.99420,0.43078
30,0.00005,0.99697,0.44110,0.99533,0.42897
